scale,arm,transform,dim,quantizer,index_type,sweep_param,sweep_value,refine_k,recall_at_10,recall_at_100,p50_ms,p99_ms,qps,qps_threads,build_seconds,ingest_seconds,nominal_payload_bytes,n_rows,n_recall_queries,loaded_bytes,index_files_bytes,chunk_cache_bytes,segment_heap_bytes,payload_compression_vs_1024_fp32,footprint_compression_vs_flat_1024,footprint_compression_vs_raw_1024,dim_compression
1m,pca_uc_768_sq8,pca_uc,768,sq8,IVF_SQ8,nprobe,128,,0.97492,0.976966,9.793312477995642,19.146667409222573,150.61455396885347,8,169.06466675002594,177.67235995898955,768,1000000,10000,882708444,825958400,0,56750044,5.333333333333333,4.7045547940855545,4.640263756217109,1.3333333333333333
1m,pca_uc_768_sq8,pca_uc,768,sq8,IVF_SQ8,nprobe,256,,0.97881,0.980462,20.36431299347896,35.728991652431425,92.0850723964138,8,169.06466675002594,177.67235995898955,768,1000000,10000,882708444,825958400,0,56750044,5.333333333333333,4.7045547940855545,4.640263756217109,1.3333333333333333
1m,pca_uc_768_sq8,pca_uc,768,sq8,IVF_SQ8,nprobe,512,,0.98168,0.984418,12.918103995616548,22.67811167228501,138.8780418484138,8,169.06466675002594,177.67235995898955,768,1000000,10000,882708444,825958400,0,56750044,5.333333333333333,4.7045547940855545,4.640263756217109,1.3333333333333333
1m,pca_uc_256_sq8,pca_uc,256,sq8,IVF_SQ8,nprobe,1,,0.35552,0.273256,8.088832997600548,38.06443200650392,509.5792296014097,8,576.246179416019,127.77112091699382,256,1000000,10000,331538346,274788352,0,56749994,16.0,12.525701150719984,12.354528667401869,4.0
1m,pca_uc_256_sq8,pca_uc,256,sq8,IVF_SQ8,nprobe,2,,0.46948,0.393383,11.251874981098808,61.84655258868581,487.798681341304,8,576.246179416019,127.77112091699382,256,1000000,10000,331538346,274788352,0,56749994,16.0,12.525701150719984,12.354528667401869,4.0
1m,pca_uc_256_sq8,pca_uc,256,sq8,IVF_SQ8,nprobe,4,,0.57154,0.515897,10.838646005140617,86.13263048580842,266.86565205159883,8,576.246179416019,127.77112091699382,256,1000000,10000,331538346,274788352,0,56749994,16.0,12.525701150719984,12.354528667401869,4.0
1m,pca_uc_256_sq8,pca_uc,256,sq8,IVF_SQ8,nprobe,8,,0.64953,0.622356,8.511229490977712,79.74957457452545,269.40021225077265,8,576.246179416019,127.77112091699382,256,1000000,10000,331538346,274788352,0,56749994,16.0,12.525701150719984,12.354528667401869,4.0
1m,pca_uc_256_sq8,pca_uc,256,sq8,IVF_SQ8,nprobe,16,,0.7053,0.703142,8.325812508701347,67.71042917418525,246.18091847987702,8,576.246179416019,127.77112091699382,256,1000000,10000,331538346,274788352,0,56749994,16.0,12.525701150719984,12.354528667401869,4.0
1m,pca_uc_256_sq8,pca_uc,256,sq8,IVF_SQ8,nprobe,32,,0.74257,0.757638,13.990062507218681,102.2743823079506,246.1310695635836,8,576.246179416019,127.77112091699382,256,1000000,10000,331538346,274788352,0,56749994,16.0,12.525701150719984,12.354528667401869,4.0
1m,pca_uc_256_sq8,pca_uc,256,sq8,IVF_SQ8,nprobe,64,,0.76626,0.791223,11.09779201215133,88.89324466086688,206.30965409947245,8,576.246179416019,127.77112091699382,256,1000000,10000,331538346,274788352,0,56749994,16.0,12.525701150719984,12.354528667401869,4.0
1m,pca_uc_256_sq8,pca_uc,256,sq8,IVF_SQ8,nprobe,128,,0.7784,0.809573,13.05922950268723,77.91199209197654,169.59067009849778,8,576.246179416019,127.77112091699382,256,1000000,10000,331538346,274788352,0,56749994,16.0,12.525701150719984,12.354528667401869,4.0
1m,pca_uc_256_sq8,pca_uc,256,sq8,IVF_SQ8,nprobe,256,,0.78454,0.819221,19.131854496663436,105.87176538392669,122.26109174024215,8,576.246179416019,127.77112091699382,256,1000000,10000,331538346,274788352,0,56749994,16.0,12.525701150719984,12.354528667401869,4.0
1m,pca_uc_256_sq8,pca_uc,256,sq8,IVF_SQ8,nprobe,512,,0.78759,0.823627,15.947750012855977,81.9154165891814,170.8714894954566,8,576.246179416019,127.77112091699382,256,1000000,10000,331538346,274788352,0,56749994,16.0,12.525701150719984,12.354528667401869,4.0
1m,pca_uc_128_sq8,pca_uc,128,sq8,IVF_SQ8,nprobe,1,,0.29668,0.252849,3.4516665036790073,12.13870784617027,774.8129490497239,8,338.73927699998603,150.55706520800595,128,1000000,10000,198356892,141606912,0,56749980,32.0,20.935749699082802,20.64964800920555,8.0
1m,pca_uc_128_sq8,pca_uc,128,sq8,IVF_SQ8,nprobe,2,,0.37483,0.354653,3.3767709974199533,11.283097403065767,888.5107947623969,8,338.73927699998603,150.55706520800595,128,1000000,10000,198356892,141606912,0,56749980,32.0,20.935749699082802,20.64964800920555,8.0
