scale,arm,index_type,sweep_param,sweep_value,refine_k,recall_at_10,recall_at_100,p50_ms,p99_ms,qps,qps_threads,build_seconds,ingest_seconds,nominal_payload_bytes,n_rows,loaded_bytes,index_files_bytes,chunk_cache_bytes,segment_heap_bytes,payload_compression,footprint_compression_vs_flat
1m,ivf_pq_m256,IVF_PQ,nprobe,2,,0.64368,0.585177,6.8643955019069836,15.371963347861298,319.22649932907996,8,712.8211067079974,215.78576566699485,256,1000000,453456062,396705792,0,56750270,16.0,9.157999175673165
1m,ivf_pq_m256,IVF_PQ,nprobe,4,,0.7257,0.704035,7.197416998678818,19.017617680510707,303.5443891650424,8,712.8211067079974,215.78576566699485,256,1000000,453456062,396705792,0,56750270,16.0,9.157999175673165
1m,ivf_pq_m256,IVF_PQ,nprobe,8,,0.77277,0.780134,7.995083004061598,14.887579675705636,264.68603724865693,8,712.8211067079974,215.78576566699485,256,1000000,453456062,396705792,0,56750270,16.0,9.157999175673165
1m,ivf_pq_m256,IVF_PQ,nprobe,16,,0.79802,0.819266,11.805417001596652,59.11297925791579,186.6086593647132,8,712.8211067079974,215.78576566699485,256,1000000,453456062,396705792,0,56750270,16.0,9.157999175673165
1m,ivf_pq_m256,IVF_PQ,nprobe,32,,0.80875,0.839735,9.665125005994923,74.65201190774674,179.274514806545,8,712.8211067079974,215.78576566699485,256,1000000,453456062,396705792,0,56750270,16.0,9.157999175673165
1m,ivf_pq_m256,IVF_PQ,nprobe,64,,0.81503,0.849886,10.061438006232493,19.414789582951922,106.37137476637147,8,712.8211067079974,215.78576566699485,256,1000000,453456062,396705792,0,56750270,16.0,9.157999175673165
1m,ivf_pq_m256,IVF_PQ,nprobe,128,,0.81818,0.853541,15.408354003739078,40.476066571136414,95.68503796357862,8,712.8211067079974,215.78576566699485,256,1000000,453456062,396705792,0,56750270,16.0,9.157999175673165
1m,ivf_pq_m256,IVF_PQ,nprobe,256,,0.81946,0.855116,20.663416500610765,58.64374959361154,51.85259289627353,8,712.8211067079974,215.78576566699485,256,1000000,453456062,396705792,0,56750270,16.0,9.157999175673165
1m,ivf_pq_m128,IVF_PQ,nprobe,1,,0.45987,0.419343,7.4837500069406815,19.200075173284855,286.00081428140766,8,756.2803788750025,283.00813933400786,128,1000000,329588908,272838656,0,56750252,32.0,12.599787617852723
1m,ivf_pq_m128,IVF_PQ,nprobe,2,,0.53371,0.532779,7.227583002531901,15.961826572893184,331.0409278190815,8,756.2803788750025,283.00813933400786,128,1000000,329588908,272838656,0,56750252,32.0,12.599787617852723
1m,ivf_pq_m128,IVF_PQ,nprobe,4,,0.57357,0.60432,6.071042000257876,11.4739549193473,371.9060986838547,8,756.2803788750025,283.00813933400786,128,1000000,329588908,272838656,0,56750252,32.0,12.599787617852723
1m,ivf_pq_m128,IVF_PQ,nprobe,8,,0.59196,0.640833,7.035957998596132,22.43090148025656,342.27649521158514,8,756.2803788750025,283.00813933400786,128,1000000,329588908,272838656,0,56750252,32.0,12.599787617852723
1m,ivf_pq_m128,IVF_PQ,nprobe,16,,0.59892,0.656342,8.592374499130528,20.225960001407653,247.69082742768987,8,756.2803788750025,283.00813933400786,128,1000000,329588908,272838656,0,56750252,32.0,12.599787617852723
1m,ivf_pq_m128,IVF_PQ,nprobe,32,,0.60025,0.660688,7.200125495728571,14.035638338245917,272.0787328617927,8,756.2803788750025,283.00813933400786,128,1000000,329588908,272838656,0,56750252,32.0,12.599787617852723
1m,ivf_pq_m128,IVF_PQ,nprobe,64,,0.60102,0.66275,8.95937499444699,15.133044665853959,221.6132474859113,8,756.2803788750025,283.00813933400786,128,1000000,329588908,272838656,0,56750252,32.0,12.599787617852723
1m,ivf_pq_m128,IVF_PQ,nprobe,128,,0.60127,0.663271,14.161104503727984,29.463584666664243,127.91588422554707,8,756.2803788750025,283.00813933400786,128,1000000,329588908,272838656,0,56750252,32.0,12.599787617852723
