workload,size,corpus_tokens,live_arm,index_arm,regime,hit_rate,cached,footprint,infra_mode,c_live,c_index_query,saving_per_query,footprint_gib,infra_month,embed_once,churn_day,fixed_daily,break_even_qpd,feasible,live_window_exceeded,c_live_over_window,break_even_qpd_over_window,measured,hit_rate_basis
memory,S,98134,replay,memsearch,open_weight,0.95,True,sq8,marginal,0.0010636143893893901,0.0011424075325325324,-7.879314314314227e-05,0.0003817014060728252,0.002851537613093984,0.00099968,0.0,9.642386329762239e-05,inf,True,False,,,True,sweep
memory,S,98134,replay,memsearch,open_weight,0.99,True,sq8,marginal,0.00022078183683683702,0.0011424075325325324,-0.0009216256956956954,0.0003817014060728252,0.002851537613093984,0.00099968,0.0,9.642386329762239e-05,inf,True,False,,,True,sweep
memory,S,98134,replay,memsearch,open_weight,0.0,False,sq8,marginal,0.02108088751251251,0.0011424075325325324,0.019938479979979978,0.0003817014060728252,0.002851537613093984,0.00099968,0.0,9.642386329762239e-05,0.004836068917712915,True,False,,,True,uncached_list
memory,M,392116,replay,memsearch,claude,0.9167,True,pca_uc_384_sq8,dedicated,0.20300260000000006,0.012446666666666668,0.1905559333333334,0.00061848660577959,86.06751,0.00403216,0.0,2.8276910470136984,14.83916558015178,True,False,,,True,measured
memory,M,392116,replay,memsearch,claude,0.5,True,pca_uc_384_sq8,dedicated,0.8238529333333333,0.012446666666666668,0.8114062666666666,0.00061848660577959,86.06751,0.00403216,0.0,2.8276910470136984,3.4849263102565375,True,False,,,True,sweep
memory,M,392116,replay,memsearch,claude,0.9,True,pca_uc_384_sq8,dedicated,0.22783661333333335,0.012446666666666668,0.2153899466666667,0.00061848660577959,86.06751,0.00403216,0.0,2.8276910470136984,13.128240620207675,True,False,,,True,sweep
memory,M,392116,replay,memsearch,claude,0.95,True,pca_uc_384_sq8,dedicated,0.15333457333333342,0.012446666666666668,0.14088790666666676,0.00061848660577959,86.06751,0.00403216,0.0,2.8276910470136984,20.070502244765862,True,False,,,True,sweep
memory,M,392116,replay,memsearch,claude,0.99,True,pca_uc_384_sq8,dedicated,0.09373294133333335,0.012446666666666668,0.08128627466666669,0.00061848660577959,86.06751,0.00403216,0.0,2.8276910470136984,34.78682051317156,True,False,,,True,sweep
memory,M,392116,replay,memsearch,claude,0.0,False,pca_uc_384_sq8,dedicated,0.7846413333333334,0.012446666666666668,0.7721946666666667,0.00061848660577959,86.06751,0.00403216,0.0,2.8276910470136984,3.6618888592173198,True,False,,,True,uncached_list
memory,M,392116,replay,memsearch,claude,0.9167,True,sq8,dedicated,0.20300260000000006,0.012446666666666668,0.1905559333333334,0.0015138665935769677,86.06751,0.00403216,0.0,2.8276910470136984,14.83916558015178,True,False,,,True,measured
memory,M,392116,replay,memsearch,claude,0.5,True,sq8,dedicated,0.8238529333333333,0.012446666666666668,0.8114062666666666,0.0015138665935769677,86.06751,0.00403216,0.0,2.8276910470136984,3.4849263102565375,True,False,,,True,sweep
memory,M,392116,replay,memsearch,claude,0.9,True,sq8,dedicated,0.22783661333333335,0.012446666666666668,0.2153899466666667,0.0015138665935769677,86.06751,0.00403216,0.0,2.8276910470136984,13.128240620207675,True,False,,,True,sweep
memory,M,392116,replay,memsearch,claude,0.95,True,sq8,dedicated,0.15333457333333342,0.012446666666666668,0.14088790666666676,0.0015138665935769677,86.06751,0.00403216,0.0,2.8276910470136984,20.070502244765862,True,False,,,True,sweep
memory,M,392116,replay,memsearch,claude,0.99,True,sq8,dedicated,0.09373294133333335,0.012446666666666668,0.08128627466666669,0.0015138665935769677,86.06751,0.00403216,0.0,2.8276910470136984,34.78682051317156,True,False,,,True,sweep
