qid,arm,recall_at_10,presence_wb,provenance_at_10,presence_wb_on_gold_page,n_gold_titles,n_gold_titles_hit,judge_correct,idk_corrected,in_primary
937,pca_uc_384_sq8_np512,0.9,True,True,True,1,1,True,False,True
937,pca_uc_512_sq8_np512,1.0,True,True,True,1,1,True,False,True
937,pq_np256,0.8,True,True,True,1,1,True,False,True
937,rabitq_np256,1.0,True,True,True,1,1,True,False,True
937,refine_np64,1.0,True,True,True,1,1,True,False,True
937,sq8_np16,1.0,True,True,True,1,1,True,False,True
937,sq8_np4,1.0,True,True,True,1,1,True,False,True
937,sq8_np512,1.0,True,True,True,1,1,True,False,True
937,sq8_np64,1.0,True,True,True,1,1,True,False,True
937,sq8_np8,1.0,True,True,True,1,1,True,False,True
972,mrl_512_sq8_np512,0.9,True,True,True,1,1,False,True,True
972,pca_uc_384_sq8_np512,0.9,True,True,True,1,1,False,True,True
972,pca_uc_512_sq8_np512,1.0,True,True,True,1,1,False,True,True
972,pq_np256,0.8,True,True,True,1,1,False,True,True
972,rabitq_np256,0.8,True,True,True,1,1,False,True,True
972,refine_np64,0.9,True,True,True,1,1,False,True,True
972,sq8_np16,0.9,True,True,True,1,1,False,True,True
972,sq8_np4,0.8,True,True,True,1,1,False,True,True
972,sq8_np512,1.0,True,True,True,1,1,False,True,True
972,sq8_np64,1.0,True,True,True,1,1,False,True,True
972,sq8_np8,0.9,True,True,True,1,1,False,True,True
987,mrl_512_sq8_np512,0.7,False,False,False,2,0,False,True,False
987,pca_uc_384_sq8_np512,1.0,False,False,False,2,0,False,True,False
987,pca_uc_512_sq8_np512,1.0,False,False,False,2,0,False,True,False
987,pq_np256,0.8,False,False,False,2,0,False,True,False
987,rabitq_np256,0.7,False,False,False,2,0,False,True,False
987,refine_np64,0.9,False,False,False,2,0,False,True,False
987,sq8_np16,0.9,False,False,False,2,0,False,True,False
987,sq8_np4,0.8,False,False,False,2,0,False,True,False
987,sq8_np512,1.0,False,False,False,2,0,False,True,False
987,sq8_np64,1.0,False,False,False,2,0,False,True,False
987,sq8_np8,0.8,False,False,False,2,0,False,True,False
990,mrl_512_sq8_np512,0.7,False,False,False,1,0,True,False,True
990,pca_uc_384_sq8_np512,0.9,True,True,True,1,1,False,True,True
990,pca_uc_512_sq8_np512,1.0,True,True,True,1,1,False,True,True
990,pq_np256,0.7,True,True,True,1,1,True,False,True
990,rabitq_np256,0.7,True,True,True,1,1,False,True,True
990,refine_np64,1.0,True,True,True,1,1,True,False,True
990,sq8_np16,1.0,True,True,True,1,1,False,True,True
990,sq8_np4,0.9,True,True,True,1,1,False,True,True
990,sq8_np512,1.0,True,True,True,1,1,True,False,True
990,sq8_np64,1.0,True,True,True,1,1,True,False,True
990,sq8_np8,1.0,True,True,True,1,1,True,False,True
1016,mrl_512_sq8_np512,0.8,True,True,True,1,1,True,False,True
1016,pca_uc_384_sq8_np512,0.9,True,True,True,1,1,True,False,True
1016,pca_uc_512_sq8_np512,1.0,True,True,True,1,1,True,False,True
1016,pq_np256,0.9,True,True,True,1,1,True,False,True
1016,rabitq_np256,1.0,True,True,True,1,1,True,False,True
1016,refine_np64,1.0,True,True,True,1,1,True,False,True
1016,sq8_np16,1.0,True,True,True,1,1,True,False,True
1016,sq8_np4,1.0,True,True,True,1,1,True,False,True
1016,sq8_np512,1.0,True,True,True,1,1,True,False,True
1016,sq8_np64,1.0,True,True,True,1,1,True,False,True
1016,sq8_np8,1.0,True,True,True,1,1,True,False,True
1020,mrl_512_sq8_np512,0.5,True,True,True,1,1,True,False,True
1020,pca_uc_384_sq8_np512,1.0,True,True,True,1,1,False,True,True
1020,pca_uc_512_sq8_np512,1.0,True,True,True,1,1,False,True,True
1020,pq_np256,0.9,True,True,True,1,1,False,True,True
1020,rabitq_np256,0.8,True,True,True,1,1,False,True,True
1020,refine_np64,0.6,True,True,True,1,1,False,True,True
1020,sq8_np16,0.9,True,True,True,1,1,False,True,True
1020,sq8_np4,0.6,False,False,False,1,0,False,True,True
1020,sq8_np512,1.0,True,True,True,1,1,False,True,True
1020,sq8_np64,0.9,True,True,True,1,1,False,True,True
1020,sq8_np8,0.6,False,False,False,1,0,False,True,True
1026,mrl_512_sq8_np512,0.7,True,True,True,2,1,True,False,True
